Commit,Date,Status,Compiler,Standard library,C++ standard [1],Qt,Platform,Boost,Tests (passed/all),Comment
69525298,2025-12-14,:white_check_mark:,Clang 14.0.0,libstdc++ 11,C++17,6.2.4,x86-64,1.74.0,100 % (63/63),Ubuntu 64-bit 22.04
69525298,2025-12-14,:red_circle:,Clang 14.0.0,libc++ 14000,C++17,6.2.4,x86-64,1.74.0,N/A,"Ubuntu 64-bit 22.04. Causes linker errors from QMetaType. For details, see error messages in a [separate file](misc/dfgTestQt_Clang14_libc++_Qt_624_linker_errors.txt)"
69525298,2025-12-14,:white_check_mark:,"clang-cl (Clang 19.1.5, MSVC2022.5)",MSVC,C++17,6.4.1,x86-64,1.70.0,100 % (65/65),
69525298,2025-12-14,:white_check_mark:,GCC 9.4.0,libstdc++ 9,C++17,5.12.8,x86-64,1.71.0,100 % (64/64),"Ubuntu 64-bit 20.04, WSL"
69525298,2025-12-14,:white_check_mark:,GCC 11.4.0,libstdc++ 11,C++17,6.2.4,x86-64,1.74.0,100 % (64/64),"Ubuntu 64-bit 22.04, VM"
69525298,2025-12-14,:white_check_mark:,GCC 13.3.0,libstdc++ 13,C++17,6.4.2,x86-64,1.18.3,100 % (65/65),"Ubuntu 64-bit 24.04, WSL"
69525298,2025-12-14,:white_check_mark:,MinGW 11.2.0,libstdc++ 11,C++17,6.4.1,x86-64,1.70.0,100 % (64/64),
69525298,2025-12-14,:white_check_mark:,VC2019.11,MSVC,C++17,5.15.2,x86-64,1.70.0,100 % (65/65),
69525298,2025-12-14,:white_check_mark:,VC2022.14,MSVC,C++17,6.4.1,x86-64,1.70.0,100 % (65/65),
69525298,2025-12-14,:white_check_mark:,VC2022.14,MSVC,C++20,6.4.1,x86-64,1.70.0,100 % (65/65),
69525298,2025-12-14,:white_check_mark:,VC2022.14,MSVC,C++20,6.9.1,x86-64,1.70.0,100 % (65/65),
